station;date;Latitude;Longitude;Altitude
137;03/05/2024;49.7054460263859;3.65039504410087;97
152;03/04/2024;49.5559367282316;0.555290562591357;144
157;04/04/2024;49.5671766642783;1.6591608703299;164
215;04/06/2024;49.3740703250416;5.84561377272516;365
223;02/04/2024;49.2362523222868;-0.971023266931689;39
288;06/06/2024;49.1281765661728;3.85678097784408;193
291;17/04/2024;49.1161109411299;4.51525817503008;143
391;22/04/2024;48.844838275277;2.33579524769974;47
400;31/05/2024;48.8342724406152;4.28350622064533;143
408;27/03/2024;48.7932010535351;6.02441183229234;274
423;03/04/2024;48.5339381716991;-3.97184170007459;122
476;26/04/2024;48.5925618400509;7.53207205813478;183
609;25/03/2024;48.1951376535824;-1.9822890094208;71
620;28/03/2024;48.2601626337537;0.383482346651963;89
633;23/04/2024;48.2742531650272;3.18548869500691;154
644;12/06/2024;48.230551833153;5.55313038104552;435
730;11/04/2024;47.9484894161672;-0.676113973755391;76
788;16/04/2024;47.8193557784935;-0.027466457254098;38
792;27/03/2024;47.8334896790882;0.826715632239393;136
805;24/04/2024;47.836519711785;3.60554545922775;182
812;11/06/2024;47.8106367801133;5.10079251722604;450
827;18/04/2024;47.5911205616326;-2.81158007345027;4
870;28/05/2024;47.6294797750949;6.37142360891853;289
926;27/05/2024;47.4531196404966;7.20806698950873;514
1030;12/04/2024;47.0848050528202;-0.625406540946352;170
1058;14/05/2024;47.0870418392033;5.27350873305645;184
1064;15/05/2024;47.0487852584465;6.53783195380408;885
1090;22/05/2024;46.9826323289556;2.74851568722079;215
1141;04/04/2024;46.8204597659373;4.21101505944702;320
1166;18/03/2024;46.6834260740623;0.860928957263222;112
1174;23/05/2024;46.6928659613774;2.53499704476721;164
1180;03/04/2024;46.6825057220501;3.78802433819848;270
1237;16/04/2024;46.3506497510169;-1.40321679085194;3
1243;21/03/2024;46.3766366548151;-0.172179021232904;92
1274;17/05/2024;46.3317772191028;6.28092715602017;432
1310;16/05/2024;46.228868438387;5.02443580687463;202
1366;11/03/2024;45.9346254946214;-0.567270869874808;61
1372;11/04/2024;45.9598382118547;0.672536029377586;222
1464;05/06/2024;45.6779077470276;2.94301610784092;985
1477;08/04/2024;45.6401693491095;5.61003921649128;209
1491;19/03/2024;45.5173490694814;0.0710220240044624;114
1537;15/03/2024;45.3884443655317;0.892398066995418;203
1549;30/05/2024;45.3911047765517;3.34517713570663;400
1556;10/04/2024;45.3690149100078;4.77475157668675;138
1587;06/06/2024;45.2538548457955;2.52555216920108;902
1660;19/03/2024;44.9526610124959;0.70364058861398;129
1677;13/06/2024;44.9465981199809;4.14437731617619;1305
1686;06/08/2024;44.9048619493119;5.96937133617335;1888
1694;08/04/2024;44.7733595204167;-0.907607097076179;51
1706;10/04/2024;44.8178511311097;1.51554524633862;202
1768;23/04/2024;44.6346263421969;5.34894544254264;751
1826;12/03/2024;44.3664478290357;0.117461238742218;87
1837;30/05/2024;44.3889199310117;2.32434462405189;579
1875;14/03/2024;44.2406504349493;1.32315689391354;191
1887;14/06/2024;44.2375443985216;3.7226445983764;928
1893;28/03/2024;44.2166800911093;4.92701588816509;112
1992;24/04/2024;43.8921670756657;6.10461897406734;712
1996;25/04/2024;43.8563416618755;6.90327394449335;757
2011;13/03/2024;43.7995981085167;0.738134796235499;197
2021;08/04/2024;43.8125780995336;2.72179965795729;506
2034;25/03/2024;43.7733624323249;5.30087879165883;292
2076;12/03/2024;43.6487932757976;4.50250101102574;0
2182;17/04/2024;43.2099108298878;-0.231911972629328;245
2205;27/03/2024;43.1807256825456;5.85371529787471;274
2257;13/05/2024;42.9518241882324;2.12771511077881;528
2260;14/05/2024;42.949275970459;2.7153799533844;349
2276;18/06/2024;42.8033485412598;1.34712195396423;1218
2312;25/06/2024;42.5280876159668;1.73446702957153;2267
