m1,m2,value,component,site_id
1,2,0.3333333333333333,turnover,RMQS_25_AILLEVILLE_640
1,2,0.06666666666666667,nestedness,RMQS_25_AILLEVILLE_640
1,2,0.4,total,RMQS_25_AILLEVILLE_640
1,2,0.5454545454545454,turnover,RMQS_25_ALLANCHE_1589
1,2,0.05454545454545454,nestedness,RMQS_25_ALLANCHE_1589
1,2,0.6,total,RMQS_25_ALLANCHE_1589
1,2,0.3333333333333333,turnover,RMQS_25_ALLINGES_1275
1,2,0,nestedness,RMQS_25_ALLINGES_1275
1,2,0.3333333333333333,total,RMQS_25_ALLINGES_1275
1,2,0.25,turnover,RMQS_25_ARFEUILLES_1345
1,2,0.35,nestedness,RMQS_25_ARFEUILLES_1345
1,2,0.6,total,RMQS_25_ARFEUILLES_1345
1,2,0.34782608695652173,turnover,RMQS_25_AVESSAC_831
1,2,0.15217391304347827,nestedness,RMQS_25_AVESSAC_831
1,2,0.5,total,RMQS_25_AVESSAC_831
1,2,0.26666666666666666,turnover,RMQS_25_AZAY-LE-FERRON_1126
1,2,0.15438596491228068,nestedness,RMQS_25_AZAY-LE-FERRON_1126
1,2,0.42105263157894735,total,RMQS_25_AZAY-LE-FERRON_1126
1,2,0.35294117647058826,turnover,RMQS_25_BAZORDAN_2186
1,2,0.03594771241830065,nestedness,RMQS_25_BAZORDAN_2186
1,2,0.3888888888888889,total,RMQS_25_BAZORDAN_2186
1,2,0.2,turnover,RMQS_25_BEAUCHENE_438
1,2,0.22857142857142856,nestedness,RMQS_25_BEAUCHENE_438
1,2,0.42857142857142855,total,RMQS_25_BEAUCHENE_438
1,2,0.4,turnover,RMQS_25_BESSE_1747
1,2,0.36923076923076925,nestedness,RMQS_25_BESSE_1747
1,2,0.7692307692307693,total,RMQS_25_BESSE_1747
1,2,0.14285714285714285,turnover,RMQS_25_BETTEVILLE_153
1,2,0.22556390977443608,nestedness,RMQS_25_BETTEVILLE_153
1,2,0.3684210526315789,total,RMQS_25_BETTEVILLE_153
1,2,0,turnover,RMQS_25_BEZIERS_2161
1,2,0.2,nestedness,RMQS_25_BEZIERS_2161
1,2,0.2,total,RMQS_25_BEZIERS_2161
1,2,0.36363636363636365,turnover,RMQS_25_BIOL_1517
1,2,0.11784511784511784,nestedness,RMQS_25_BIOL_1517
1,2,0.48148148148148145,total,RMQS_25_BIOL_1517
1,2,0.4375,turnover,RMQS_25_CANET-DE-SALARS_1882
1,2,0.017045454545454544,nestedness,RMQS_25_CANET-DE-SALARS_1882
1,2,0.45454545454545453,total,RMQS_25_CANET-DE-SALARS_1882
1,2,0.3333333333333333,turnover,RMQS_25_CARSAC-DE-GURSON_1657
1,2,0.2222222222222222,nestedness,RMQS_25_CARSAC-DE-GURSON_1657
1,2,0.5555555555555556,total,RMQS_25_CARSAC-DE-GURSON_1657
1,2,0,turnover,RMQS_25_CASTANET_1878
1,2,0.5,nestedness,RMQS_25_CASTANET_1878
1,2,0.5,total,RMQS_25_CASTANET_1878
1,2,0.4,turnover,RMQS_25_CHAMBLAC_325
1,2,0.35000000000000003,nestedness,RMQS_25_CHAMBLAC_325
1,2,0.75,total,RMQS_25_CHAMBLAC_325
1,2,0.3333333333333333,turnover,RMQS_25_CHATEAU-L'EVEQUE_1578
1,2,0,nestedness,RMQS_25_CHATEAU-L'EVEQUE_1578
1,2,0.3333333333333333,total,RMQS_25_CHATEAU-L'EVEQUE_1578
1,2,0.5,turnover,RMQS_25_CHATRES-SUR-CHER_997
1,2,0.13636363636363635,nestedness,RMQS_25_CHATRES-SUR-CHER_997
1,2,0.6363636363636364,total,RMQS_25_CHATRES-SUR-CHER_997
1,2,0.6666666666666666,turnover,RMQS_25_CHAUSSEE-SUR-MARNE_401
1,2,0.08333333333333333,nestedness,RMQS_25_CHAUSSEE-SUR-MARNE_401
1,2,0.75,total,RMQS_25_CHAUSSEE-SUR-MARNE_401
1,2,0.75,turnover,RMQS_25_CLEMONT_903
1,2,0.05,nestedness,RMQS_25_CLEMONT_903
1,2,0.8,total,RMQS_25_CLEMONT_903
1,2,0.38095238095238093,turnover,RMQS_25_CUGNEY_970
1,2,0.02813852813852814,nestedness,RMQS_25_CUGNEY_970
1,2,0.4090909090909091,total,RMQS_25_CUGNEY_970
1,2,0,turnover,RMQS_25_DAMBACH-LA-VILLE_10594
1,2,0.8571428571428571,nestedness,RMQS_25_DAMBACH-LA-VILLE_10594
1,2,0.8571428571428571,total,RMQS_25_DAMBACH-LA-VILLE_10594
1,2,0.16666666666666666,turnover,RMQS_25_DOMPAIRE_647
1,2,0.11904761904761904,nestedness,RMQS_25_DOMPAIRE_647
1,2,0.2857142857142857,total,RMQS_25_DOMPAIRE_647
1,2,0.4444444444444444,turnover,RMQS_25_EBERSHEIM_594
1,2,0.17094017094017094,nestedness,RMQS_25_EBERSHEIM_594
1,2,0.6153846153846154,total,RMQS_25_EBERSHEIM_594
1,2,0.2,turnover,RMQS_25_EPANNES_1283
1,2,0.07272727272727274,nestedness,RMQS_25_EPANNES_1283
1,2,0.2727272727272727,total,RMQS_25_EPANNES_1283
1,2,0.8571428571428571,turnover,RMQS_25_ESPAGNAC_1584
1,2,0.08403361344537814,nestedness,RMQS_25_ESPAGNAC_1584
1,2,0.9411764705882353,total,RMQS_25_ESPAGNAC_1584
1,2,0.4444444444444444,turnover,RMQS_25_FONDETTES_946
1,2,0.05555555555555556,nestedness,RMQS_25_FONDETTES_946
1,2,0.5,total,RMQS_25_FONDETTES_946
